model_label	offline_test_acc_mean	offline_test_acc_std	practical_in_avg_mean	practical_in_avg_std	practical_out_avg_mean	practical_out_avg_std	practical_avg_mean	practical_avg_std	practical_macro_f1_avg_mean	practical_macro_f1_avg_std	offline_to_practical_drop_mean	offline_to_practical_drop_std
Vision-only	0.9190400000000001	0.051500563103717624	0.8066666666666666	0.01970069247388572	0.6005555555555555	0.031205214822185797	0.7036111111111111	0.02130484932916144	0.667503320900579	0.027829999930324235	0.2154288888888889	0.05210535954992689
Vision + IMU + flags	0.92606	0.043650234821819664	0.8483333333333333	0.025046253508555254	0.6294444444444445	0.036778029539252445	0.7388888888888889	0.024806348749294136	0.7052856323603653	0.031004669460725415	0.18717111111111112	0.0363012571628716
Vision + Flex + flags	0.95732	0.026727644864446988	0.89	0.021480683254645798	0.7538888888888888	0.06043183079172353	0.8219444444444444	0.03971590858915013	0.8090568279912225	0.04115105631287552	0.13537555555555558	0.05045527013058813
Vision + IMU + Flex + flags	0.9483799999999999	0.034023771101981036	0.8988888888888888	0.0241842209551988	0.7344444444444445	0.0526533621263626	0.8166666666666668	0.03055555555555554	0.8016819146496534	0.03578587669101666	0.1317133333333333	0.03612298556902172
