category,model,path,test_accuracy,macro_f1,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,min_accuracy,max_accuracy,notes
single_run,vision_only_latest,vision_results_from_fusion_hold_v4_flags,0.9286,0.9280,,,,,,latest pure vision baseline
single_run,input_structured_v2,fusion_train_output_hold_v4_flags_imu_flags_flexposture_v2,0.9286,0.9260,,,,,,imu_flags + flex posture without gate
single_run,friend_vision_only,gksdydtjr/vision_only_v1,0.8214,0.8177,,,,,,friend rewritten pipeline vision-only
single_run,friend_fusion_v2,gksdydtjr/fusion_v2,0.9107,0.9064,,,,,,friend both-mode fusion run
single_run,friend_gate_raw,gksdydtjr/fusion_train_output_hold_v4_flags_gate_v2,0.9643,0.9625,,,,,,friend raw sensor + flags gate fusion
single_run,stable_hybrid,fusion_train_output_hold_v4_flags_gate_flexposture_stable,0.9464,0.9446,,,,,,current main candidate
multi_seed_10,friend_gate_alpha03,friend_gate_raw_alpha03_seed42_to_seed51,,,0.9022,0.0494,0.8925,0.0581,0.8000,0.9643,10-seed summary
multi_seed_10,stable_hybrid,fusion_cmp_seed42_hybrid_stable_to_seed51,,,0.9225,0.0362,0.9170,0.0396,0.8500,0.9821,10-seed summary
multi_seed_3,friend_gate_raw_alpha10,friend_gate_raw_seed42_to_seed44,,,0.8958,0.0629,0.8799,0.0800,0.8125,0.9643,3-seed summary
multi_seed_3,friend_gate_alpha05,friend_gate_raw_alpha05_seed42_to_seed44,,,0.9149,0.0242,0.9076,0.0273,0.8875,0.9464,3-seed summary
multi_seed_3,friend_gate_alpha03,friend_gate_raw_alpha03_seed42_to_seed44,,,0.9191,0.0321,0.9147,0.0340,0.8929,0.9643,3-seed summary
multi_seed_3,stable_hybrid,fusion_cmp_seed42_hybrid_stable_to_seed44,,,0.9024,0.0398,0.8949,0.0442,0.8500,0.9464,3-seed summary
multi_seed_3,input_only_structured,fusion_cmp_seed42_input_only_to_seed44,,,0.8637,0.0742,0.8461,0.0842,0.7875,0.9643,rough reference only; split not fully consistent
